Template,Q,QNER,QNE,QURI,RP,ANE,AURI
<ENT> در کجا متولد شد ؟, رائول آلفونسین در کجا متولد شد ؟,"[('رائول', 'B_ent'), ('آلفونسین', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('متولد', 'O'), ('شد', 'O'), ('؟', 'O')]",رائول آلفونسین,['http://fkg.iust.ac.ir/resource/رائول_آلفونسین'],ns0__birthPlace,"['چاسکوموس', 'آرژانتین', 'بوئنوس آیرس']","['http://fkg.iust.ac.ir/resource/چاسکوموس', 'http://fkg.iust.ac.ir/resource/آرژانتین', 'http://fkg.iust.ac.ir/resource/بوئنوس_آیرس']"
<ENT> چه ساز موسیقی  را خوب می‌ نوازد ؟, جف بس چه ساز موسیقی را خوب می‌ نوازد ؟,"[('جف', 'B_ent'), ('بس', 'I_ent'), ('چه', 'O'), ('ساز', 'O'), ('موسیقی', 'O'), ('را', 'O'), ('خوب', 'O'), ('می\u200c', 'O'), ('نوازد', 'O'), ('؟', 'O')]",جف بس,['http://fkg.iust.ac.ir/resource/جف_بس'],ns0__instrument,"['درام  ساز', 'صدای انسان', 'گیتار', 'گیتار بیس', 'ساز شستی دار']","['http://fkg.iust.ac.ir/resource/درام_(ساز)', 'http://fkg.iust.ac.ir/resource/صدای_انسان', 'http://fkg.iust.ac.ir/resource/گیتار', 'http://fkg.iust.ac.ir/resource/گیتار_بیس', 'http://fkg.iust.ac.ir/resource/ساز_شستی\u200cدار']"
<ENT> در چه ژانری است ؟‌, نبرد برای وسنوث در چه ژانری است ؟‌,"[('نبرد', 'B_ent'), ('برای', 'I_ent'), ('وسنوث', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('ژانری', 'O'), ('است', 'O'), ('؟\u200c', 'O')]",نبرد برای وسنوث,['http://fkg.iust.ac.ir/resource/نبرد_برای_وسنوث'],ns0__genre,['استراتژی نوبتی'],['http://fkg.iust.ac.ir/resource/استراتژی_نوبتی']
<ENT> در چه شهری قرار دارد ؟, شاخه سفلی در چه شهری قرار دارد ؟,"[('شاخه', 'B_ent'), ('سفلی', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",شاخه سفلی,['http://fkg.iust.ac.ir/resource/شاخه_سفلی'],ns0__location_&_ns0__district_&_ns0__part,"['استان خوزستان', 'بخش مرکزی شهرستان شادگان']","['http://fkg.iust.ac.ir/resource/استان_خوزستان', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_شادگان']"
<ENT> در چه منطقه ای است ؟, دمشهر در چه منطقه ای است ؟,"[('دمشهر', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",دمشهر,['http://fkg.iust.ac.ir/resource/دمشهر'],ns0__location_&_ns0__district_&_ns0__part,"['بخش مرکزی شهرستان میناب', 'استان هرمزگان']","['http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_میناب', 'http://fkg.iust.ac.ir/resource/استان_هرمزگان']"
<ENT> در چه منطقه ای است ؟, دمرکول چنگر در چه منطقه ای است ؟,"[('دمرکول', 'B_ent'), ('چنگر', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",دمرکول چنگر,['http://fkg.iust.ac.ir/resource/دمرکول_چنگر'],ns0__location_&_ns0__district_&_ns0__part,"['بخش زز و ماهرو', 'شهرستان الیگودرز']","['http://fkg.iust.ac.ir/resource/بخش_زز_و_ماهرو', 'http://fkg.iust.ac.ir/resource/شهرستان_الیگودرز']"
تاریخ مرگ  <ENT> چه روزی است ؟,تاریخ مرگ ابوعبدالله محمد اصولی چه روزی است ؟,"[('تاریخ', 'O'), ('مرگ', 'O'), ('ابوعبدالله', 'B_ent'), ('محمد', 'I_ent'), ('اصولی', 'I_ent'), ('چه', 'O'), ('روزی', 'O'), ('است', 'O'), ('؟', 'O')]",ابوعبدالله محمد اصولی,['http://fkg.iust.ac.ir/resource/ابوعبدالله_محمد_اصولی'],ns0__deathDate,"['۶۱۲  قمری', '۱۲۱۶  میلادی']","['http://fkg.iust.ac.ir/resource/۶۱۲_(قمری)', 'http://fkg.iust.ac.ir/resource/۱۲۱۶_(میلادی)']"
چه کسی در <ENT> نقش اول را داشته است؟,چه کسی در چهل سرباز نقش اول را داشته است؟,"[('چه', 'O'), ('کسی', 'O'), ('در', 'O'), ('چهل', 'B_ent'), ('سرباز', 'I_ent'), ('نقش', 'O'), ('اول', 'O'), ('را', 'O'), ('داشته', 'O'), ('است؟', 'O')]",چهل سرباز,['http://fkg.iust.ac.ir/resource/چهل_سرباز'],ns0__starring,"['ثریا قاسمی', 'پروانه معصومی', 'اصغر همت', 'جعفر دهقان', 'احمد نجفی', 'انوشیروان ارجمند', 'داریوش ارجمند', 'محمدعلی کشاورز']","['http://fkg.iust.ac.ir/resource/ثریا_قاسمی', 'http://fkg.iust.ac.ir/resource/پروانه_معصومی', 'http://fkg.iust.ac.ir/resource/اصغر_همت', 'http://fkg.iust.ac.ir/resource/جعفر_دهقان', 'http://fkg.iust.ac.ir/resource/احمد_نجفی', 'http://fkg.iust.ac.ir/resource/انوشیروان_ارجمند', 'http://fkg.iust.ac.ir/resource/داریوش_ارجمند', 'http://fkg.iust.ac.ir/resource/محمدعلی_کشاورز']"
<ENT> تحت تاثیر چه کسی قرار گرفت ؟‌, ابوعلی کاتب تحت تاثیر چه کسی قرار گرفت ؟‌,"[('ابوعلی', 'B_ent'), ('کاتب', 'I_ent'), ('تحت', 'O'), ('تاثیر', 'O'), ('چه', 'O'), ('کسی', 'O'), ('قرار', 'O'), ('گرفت', 'O'), ('؟\u200c', 'O')]",ابوعلی کاتب,['http://fkg.iust.ac.ir/resource/ابوعلی_کاتب'],ns0__influencedBy,['ابوعثمان سعید مغربی'],['http://fkg.iust.ac.ir/resource/ابوعثمان_سعید_مغربی']
زادگاه  <ENT> کجاست ؟‌,زادگاه نیتین نوهریا کجاست ؟‌,"[('زادگاه', 'O'), ('نیتین', 'B_ent'), ('نوهریا', 'I_ent'), ('کجاست', 'O'), ('؟\u200c', 'O')]",نیتین نوهریا,['http://fkg.iust.ac.ir/resource/نیتین_نوهریا'],ns0__birthPlace,"['راجستان', 'Nohar']","['http://fkg.iust.ac.ir/resource/راجستان', 'http://fkg.iust.ac.ir/resource/Nohar']"
